epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,437.168,1.3784,1.32515,1.25212,0.25878,0.30835,0.27218,0.12262,1.8204,2.07319,1.57078,0.000199778,0.000199778,0.080222
2,716.076,1.30527,1.05816,1.1979,0.42033,0.27022,0.3287,0.22292,1.52711,1.65865,1.35772,0.000399753,0.000399753,0.060422
3,997.091,1.24002,0.94861,1.15572,0.69212,0.36937,0.39808,0.26484,1.41927,1.08308,1.17577,0.000599631,0.000599631,0.0406219
4,1283.77,1.23741,0.91196,1.13631,0.5177,0.34624,0.37778,0.24257,1.48665,1.18884,1.21854,0.000799338,0.000799338,0.0208216
5,1560.97,1.20491,0.86977,1.11312,0.57632,0.38926,0.41553,0.27089,1.43056,1.04827,1.20863,0.000998801,0.000998801,0.00102102
6,1878.96,1.19027,0.8422,1.10332,0.54477,0.39325,0.42136,0.28481,1.4104,0.91254,1.20653,0.000998474,0.000998474,0.000998474
7,2254.34,1.14506,0.79936,1.08369,0.64429,0.40499,0.53953,0.35414,1.34808,0.86878,1.12756,0.000997803,0.000997803,0.000997803
8,2529.16,1.1335,0.7849,1.06995,0.66975,0.39096,0.5093,0.34936,1.30282,0.90591,1.09491,0.000997011,0.000997011,0.000997011
9,2801.72,1.1233,0.76366,1.06439,0.66411,0.41239,0.52415,0.3549,1.3425,0.82505,1.10339,0.000996097,0.000996097,0.000996097
10,3082.03,1.11656,0.74318,1.04973,0.66158,0.40377,0.53269,0.35925,1.29849,0.86617,1.10009,0.000995062,0.000995062,0.000995062
11,3382.08,1.10663,0.7295,1.04815,0.65934,0.49306,0.54639,0.37195,1.301,0.78822,1.08662,0.000993906,0.000993906,0.000993906
12,3660.55,1.09305,0.71221,1.03785,0.61029,0.47252,0.53695,0.37314,1.30794,0.81362,1.1116,0.000992629,0.000992629,0.000992629
13,3934.84,1.06856,0.70172,1.03655,0.76759,0.48664,0.554,0.37589,1.28923,0.78543,1.08885,0.000991232,0.000991232,0.000991232
14,4208.12,1.08137,0.69436,1.02991,0.54348,0.53328,0.51595,0.34307,1.31754,0.91103,1.09949,0.000989715,0.000989715,0.000989715
15,4481.74,1.0788,0.6849,1.02446,0.67283,0.47226,0.57434,0.37864,1.30699,0.83287,1.07994,0.000988079,0.000988079,0.000988079
16,4754.78,1.05112,0.67196,1.01756,0.72989,0.5073,0.59854,0.39261,1.29834,0.74097,1.07774,0.000986323,0.000986323,0.000986323
17,5027.98,1.0524,0.66956,1.02001,0.65065,0.57377,0.56818,0.37874,1.33337,0.83757,1.09015,0.000984449,0.000984449,0.000984449
18,5301.59,1.05787,0.6682,1.01909,0.63495,0.50974,0.60357,0.4078,1.29402,0.78117,1.09251,0.000982456,0.000982456,0.000982456
19,5575.68,1.04725,0.66038,1.01578,0.66789,0.49739,0.58752,0.3914,1.25801,0.74337,1.05171,0.000980345,0.000980345,0.000980345
20,5874.21,1.04523,0.64681,1.01213,0.66257,0.5001,0.59943,0.41269,1.30641,0.74885,1.09009,0.000978118,0.000978118,0.000978118
21,6169.11,1.04925,0.65365,1.01377,0.50393,0.57118,0.57065,0.38054,1.29973,0.72516,1.08659,0.000975773,0.000975773,0.000975773
22,6464.34,1.03585,0.63848,1.00942,0.80503,0.56581,0.60767,0.39603,1.27081,0.73784,1.04899,0.000973312,0.000973312,0.000973312
23,6757.61,1.04442,0.63578,1.00941,0.60947,0.58554,0.58204,0.38918,1.2837,0.73953,1.06552,0.000970736,0.000970736,0.000970736
24,7055.86,1.03404,0.64562,1.00797,0.83099,0.52633,0.58872,0.40107,1.25874,0.70767,1.05275,0.000968045,0.000968045,0.000968045
25,7359.21,1.03921,0.6467,1.00944,0.70004,0.60354,0.5967,0.38649,1.27928,0.69997,1.07919,0.000965239,0.000965239,0.000965239
26,7669.51,1.02671,0.63156,1.00205,0.60606,0.56548,0.57056,0.39643,1.25525,0.69864,1.03613,0.00096232,0.00096232,0.00096232
27,7976.09,1.03302,0.62738,1.00196,0.58791,0.60481,0.62208,0.41968,1.24383,0.69385,1.04296,0.000959289,0.000959289,0.000959289
28,8279.49,1.02134,0.6225,0.99502,0.59246,0.57612,0.63146,0.42574,1.25139,0.6917,1.03728,0.000956145,0.000956145,0.000956145
